"","income","scenario_adopt","scenario_sharing","strategy_short","total_energy_annual_demand_kwh","total_demand_carbon_tonnes","total_nitrogen_oxide_tonnes","total_sulpher_dioxide_tonnes","total_pm10_tonnes"
"77","LMIC","high","SRN","4G (F)",29604522176.64,2033917.00141403,581.945229435809,52173.3819067205,36902.6747371219
"78","LMIC","high","SRN","4G (W)",36632500583.04,2517684.59460352,720.156948931838,64565.4660377288,45670.3753583217
"79","LMIC","high","SRN","5G (F)",14133772103.04,935365.30796195,280.336745024157,25397.9225152916,18705.6846940993
"80","LMIC","high","SRN","5G (W)",17410896512.64,1153694.26364315,345.526943303644,31310.3780772291,23078.0318512635
"81","LMIC","low","Baseline","4G (F)",20377876976.64,1375992.57682499,402.790428908156,36312.6459115383,26247.8645915365
"82","LMIC","low","Baseline","4G (W)",24908490109.44,1685695.09640419,492.654393072425,44424.6022802075,32140.8898042909
"83","LMIC","low","Baseline","5G (F)",6707417699.52,438449.51553156,132.350928595387,11954.1381428812,8702.45418548628
"84","LMIC","low","Baseline","5G (W)",7012236265.92,459997.302798655,138.242089221004,12464.1280451508,9012.37412439435
"85","LMIC","low","Passive","4G (F)",20377876976.64,1375992.57682499,402.790428908156,36312.6459115383,26247.8645915365
"86","LMIC","low","Passive","4G (W)",24908490109.44,1685695.09640419,492.654393072425,44424.6022802075,32140.8898042909
"87","LMIC","low","Passive","5G (F)",6707417699.52,438449.51553156,132.350928595387,11954.1381428812,8702.45418548628
"88","LMIC","low","Passive","5G (W)",7012236265.92,459997.302798655,138.242089221004,12464.1280451508,9012.37412439435
"89","LMIC","low","Active","4G (F)",10584807373.44,744009.428658948,206.22656582223,18323.0277259497,12495.0840904716
"90","LMIC","low","Active","4G (W)",13106905280.64,921353.213640522,255.347738029383,22685.9667355176,15466.2743468832
"91","LMIC","low","Active","5G (F)",5789342508.48,381386.605687701,114.523514462395,10359.9006529828,7586.4241941825
"92","LMIC","low","Active","5G (W)",7079215366.08,467100.126953595,140.160548949236,12685.7027507573,9308.1215521559
"93","LMIC","low","SRN","4G (F)",17930682745.92,1219279.11728044,353.851263907364,31835.5627580696,22830.5003517363
"94","LMIC","low","SRN","4G (W)",22142639315.52,1506450.20540454,437.041997562569,39322.1002636571,28204.9480042458
